,,,,
,,,,
,,,,
,,,,
,,,,
Section : Fournitures de bureau 23/24,,,,
,,,,
,,,,
Retube rouge,1,0,0,1
Manchon pvc,4,0,0,4
Manchon PM,1,0,0,1
Robinet Normal de jardin,1,0,0,1
Coude 1/2,2,0,0,2
"Robinet puisage diamètre: 1/2 RB,0,15 chrome KIT",1,0,0,1
Manchon 1/2 MF,0,0,0,0
Silicone Sialant STR,1,2,2,1
Porte savon,4,0,0,4
Porte savon liquide,2,0,0,2
Porte papier hygiénique ,3,0,0,3
Porte serviette,3,0,0,3
Distributeur du savon manuel ,2,0,0,0
Arrosoirs,2,0,0,2
Bonba ,1,0,0,1
Sécateurs,1,0,0,1
Raccords,0,2,2,0
Raccords F,0,2,2,0
Serrure carée S 6K2 de toillette clédor,0,1,0,1
POIGN2E DE PORTE NOIR,0,5,0,5
Serrure de porteà canon clédor/placard,0,9,4,5
,,,,
Désignation ,Report,Entrée,Sortie,Stock
Nettoiyage,,,,
Javel ACE,1,1,2,0
Gratoir,0,0,0,0
Gant en plastique moyen large protecor spontex,0,1,1,0
Scotch abrasive,2,2,4,0
Savon liquide,0,0,0,0
Serpilliére  de sol,1,1,1,1
Produit aquafrech (parfum),0,0.5,0.5,0
Produit multiusage détergent à applications multiplesDRAX (L),,4,,4
Produit la colombe détergent désinfectant/DS,20,0,0,20
Produit désodoresent Aura Nube,0,1,0.5,0
Acide Chloridrique 22°,0,0,0,0
Balais nylon paradise sans manche leopardo/mole ,1,1,1,1
Balais nylon paradise avec manche leopardo/mole,0,0,0,0
Produit calcacide (sanitaire) anti calcacide( L),3,4,4,3
"Papier hygiénique (P,R)confort",0,12,12,0
produit taski / R:6 pour rénovation cuvettes 750ml,0,0,0,0
produit détartant WC6,0,1,1,0
Gel Parfumé pour main MIHAND,0,0,0,0
Savon Taous,0,0,0,0
pulvérisateur L,0,0,0,0
Tide,4,4,4,4
Cien Solution Hydroalcolique Désinfectante,4.5,0,0,4.5
Sanicroix ,1.5,12,13.5,0
Savon liquide à main parfum Asep-gel désinfecton,0,0,0,0
"Liquide Désinfectant des   surfaces sols,,,,Hydroalcoolique",28,0,0,28
Paquets de  mouchoir,0,0,0,0
"Tourchon/Chamoisine50*60cm couleur/Jaune/bleu/ rose,,,",0,0,0,0
Vita  ASEPGIL  ,0,0,0,0
Bavettes,,,,0
Ventouse,0,0,0,0
Brosse pour toilette,ENS WC Blicia S/Support,0,0,0
Raclette de sol métal  (pm) 44cmspontex sans manche,1,1,1,1
Raclette de sol métal  (pm) 44cmspontex avec manche,0,0,0,0
Pelle en plastique avec cane,0,0.5,0.5,0
Tete de loup télescopique de5cm avec manche,0,0,0,0
Sac Poubelle Parfumé 15L x20pcs,0,0,0,0
 Poubelle en plastique,0,0,0,0
Seau,0,0,0,0
Coupe& couture,,,,
Désignation ,Report,Entrée,Sortie,Stock
Aiguilles machine à coudre(Paquet) ,8,0,0,8
Canette et porte canette (bobine a coudre),14,0,0,
Crochet  machine à coudre ,2,0,0,2
Fils de chaine,0,0,0,0
Fils de chaine blanc kg,0,0,0,0
Fils de chaine en couleur kg,0,0,0,0
Fil de trame /broderie  (Noir /blanc /gris GM),0,0,0,0
